3,Emanuel,Soto,22069151,2004-03-30,2979
3,Santiago Leonel,Saldaña,37288913,1985-11-15,4171
3,Axel Gabriel,Mejía,25307403,1994-10-20,6750
3,Benicio,Morales,35298636,1990-11-08,6782
3,Francesca,Lorca,26635538,2004-04-02,2583
3,Sofía Valentina,Rotman,26357712,1991-08-21,7160
3,Juan Sebastian,Saldaña,31452370,1986-07-01,296
3,Ignacio Nicolas,López,23858496,1998-09-12,2100
3,Lautaro Tomas,Silva,29952402,1982-05-30,3709
3,Lucas Nahuel,Marín,29419020,2004-05-18,3711
3,Lucila,Mamani,23677231,1983-03-12,9932
3,Maria Celeste,Hoffmann,23669926,1984-05-28,7894
3,Valentina Belén,Pavón,28182194,1986-11-17,5646
3,Priscila Abigail,Varela,29166751,1996-07-05,3535
3,Lautaro Valentin,Gómez,31016101,1998-03-14,9953
3,Ciro,Delgado,21206052,1995-05-20,3561
3,Lautaro Emanuel,Mancuso,26954468,1984-05-06,9799
3,Thiago Benjamin,Abadía,21816886,2002-06-03,3729
3,Luis Fernando,Mora,35592342,1999-06-14,9247
3,Maria,Vera,33993912,1994-12-23,6421
3,Alvaro,Muñoz,37239564,2003-11-02,2957
3,Candela Abigail,Lorca,39556936,2001-12-14,9179
3,Joaquin Alejandro,Pereyra,34150208,1997-12-10,4152
3,Genaro,Scioti,22386643,1985-02-28,3546
3,Magdalena,Salem,29645673,1993-11-19,3645
3,Agustin Alejandro,Espinoza,33791121,1981-01-24,8032
3,Santiago Valentin,Godoy,24246033,1984-07-30,7367
3,Santiago Emanuel,Huarte,36242805,2004-01-09,9094
3,Santiago Joaquin,Mamani,36283183,1994-05-18,2091
3,Martin Alejandro,Demichelis,29779742,1998-12-11,1240
3,Thiago Nahuel,Ibáñez,39040791,2003-05-11,8650
3,Mateo Benjamin,Pavón,29634890,1990-10-25,3585
3,Franco Gabriel,Rómulo,38844467,1981-11-10,4545
3,Facundo Agustin,Rómulo,31828949,1983-09-27,641
3,Lautaro Sebastian,Casas,21236845,1991-07-27,2397
3,Milagros Soledad,Morales,33029584,1989-04-20,9302
3,Ana Laura,Marín,32644388,1989-11-29,537
3,Lautaro Martin,De Luca,39853852,1997-12-14,1957
3,Celeste Abigail,Sorbera,21160239,1997-08-13,5376
3,Nicole,Pineda,20863235,1980-09-26,385
3,Abril Agustina,Fazzi,27579454,2001-07-24,8165
3,Nicolas Alejandro,Farías,26739201,2002-05-06,9615
3,Lucas Daniel,Sánchez,25816937,2002-03-27,7420
3,Micaela Belen,Carranza,35283109,1999-03-22,3381
3,Chiara,Mejía,25045435,1988-07-25,4090
3,Victoria Abril,Marín,33548430,1997-02-25,1162
3,Manuela,Goicochea,31641992,1982-08-04,5058
3,Ulises,Godoy,31115818,1986-10-31,6549
3,Franco David,D'Elia,20715349,1988-12-11,9287
3,Santiago David,Duarte,35636241,2003-07-30,915
3,Tomás Valentin,Portillo,28411051,1995-03-31,3630
3,Gonzalo Nicolás,Pinedo,30675405,1991-05-22,7787
3,Uriel,Martínez,22884333,2001-07-13,8750
3,Joaquin Nicolas,Salazar,27666594,1987-02-01,676
3,Thiago Valentin,Raimundo,35210001,1980-11-27,5575
3,Román,Leiva,39379113,1994-05-28,5376
3,Luciano Gabriel,Salazar,33536880,2000-01-27,6355
3,Camila Aylen,Mariani,29954569,1994-07-31,329
3,Mia Valentina,Marín,25499431,2003-07-11,72
3,Thiago Ezequiel,Agüero,26352977,1993-05-08,167
3,Fiorella,Santos,29243203,2000-01-24,3880
3,Celeste,Fernández,36078492,2003-11-05,5925
3,Avril,Pineda,26206017,1997-08-25,2213
3,Luciano Nicolas,Sosa,35444229,1994-06-07,2266
3,Valentina Aylen,Leal,25933616,1997-08-14,1812
3,Martina Belen,Rojas,38300719,1990-07-10,1429
3,Tomás Alejandro,Salamone,20249923,1984-04-15,5174
3,Martin Ezequiel,Lorenzo,36784356,2003-01-08,155
3,Luciano Agustin,Huergo,22268665,2003-12-07,4080
3,David,Santana,35235170,1980-05-18,1319
3,Mateo Agustin,Pavón,38270137,1990-03-06,3444
3,Candela Belen,Mamani,25122477,1992-03-24,6870
3,Franco Leonel,Nessi,22603912,1986-12-31,4299
3,Kevin,Vargas,23195120,2002-07-29,5884
3,Ludmila Ayelen,De León,39655524,1987-02-05,9448
3,Abril Valentina,Salamone,23514657,1995-05-25,3282
3,Felicitas,Hidalgo,36609323,1992-05-05,6991
3,Camila Ayelen,Abadía,26905998,1980-01-05,6663
3,Marcos Gabriel,Farina,35447623,1992-02-04,8606
3,Nahuel Agustin,Huergo,30853671,1995-04-28,1789
3,Julieta Valentina,Rojas,27262400,1988-07-22,3710
3,Candela Agustina,Rotundo,33246149,2000-04-23,8457
3,Kevin Ezequiel,Álvarez,35277138,2003-02-17,5532
3,Luciano Ezequiel,Portillo,24277748,1980-03-29,3953
3,Andres,Marchi,24168747,1996-09-27,2171
3,Leonel Agustin,Rotman,31215847,1998-05-27,9521
3,Ian,Rotundo,23595520,2001-10-24,3881
3,Braian Ezequiel,Carrizo,24928728,1999-01-25,4707
3,Valentina Milagros,Gonzales,37787175,1999-08-09,4808
3,Rocio Milagros,Mancuso,24435300,1990-08-18,3733
3,Axel Uriel,Hidalgo,25681713,2002-07-11,3521
3,Milagros Ailén,Scioti,20406718,1986-05-26,7618
3,Fausto,Martínez,36139577,1988-06-27,9544
3,Tadeo,Gómez,30959267,2000-06-24,3042
3,Daniel Alejandro,Salvador,39798257,1991-12-19,8979
3,Axel Nahuel,Zambrano,22303920,1994-06-30,8476
3,Camila Agustina,García,22801326,1990-08-24,3060
3,Luz Milagros,Sojero,23827131,1990-01-30,817
3,Luana,Muñoz,32301022,1984-02-20,9267
3,Matias Leonel,Flores,24539156,1990-03-21,5794
3,Ornella,Sberna,22072769,1981-05-13,4736
3,Enzo,Huarte,35557797,1991-02-05,5824
3,Brian Ezequiel,Rotundo,22388034,1987-03-15,5428
3,Ludmila Belen,Raimundo,22216406,2001-04-07,4671
3,Belen,Castro,38704410,2000-06-26,1490
3,Gaspar,Salamone,38842170,1982-07-08,1671
3,Lionel,López,32349331,1984-01-22,4822
3,Uma,Totora,28423833,1989-02-04,1007
3,Nicolas Gabriel,Vargas,35106170,1983-04-30,8862
3,Oriana,Demichelis,22970529,1993-01-02,7255
